date,ratingScore,reviewTitle,reviewDescription,texto_completo,texto_limpo,sentimento,palavra_chave,variant,country
31-07-2024,5,The quality,Features quakity,The quality Features quakity,the quality features quakity,neutro,"quality, features, quakity",Colour: PinkSize: 128 GB,India
14-07-2024,5,Actually beast,It’s almost one year ago I bought this phoneMy battery health is 95%This gives me almost full day backup,Actually beast It’s almost one year ago I bought this phoneMy battery health is 95%This gives me almost full day backup,actually beast its almost one year ago i bought this phonemy battery health is 95this gives me almost full day backup,neutro,"actually, beast, almost, one, year, ago, bought, phonemy, battery, health, gives, almost, full, day, backup",Colour: PinkSize: 128 GB,India
22-07-2024,5,Value,Nice and best Experience with i-phone 13.....,Value Nice and best Experience with i-phone 13.....,value nice and best experience with iphone 13,positivo,"value, nice, best, experience, iphone",Colour: PinkSize: 128 GB,India
21-04-2024,5,A gift for my wife,"Step into a world of sophistication with the Apple iPhone 13 128GB in Pink. Radiating elegance, this sleek device combines cutting-edge technology with a stunning design. Its vibrant pink hue adds a touch of personality, standing out in a sea of smartphones. With 128GB of storage, you'll have ample space for all your photos, videos, and apps. The powerful A15 Bionic chip ensures seamless performance, while the advanced camera system captures every moment in breathtaking detail. Elevate your mobile experience with the iPhone 13 Pink and make a statement wherever you go.","A gift for my wife Step into a world of sophistication with the Apple iPhone 13 128GB in Pink. Radiating elegance, this sleek device combines cutting-edge technology with a stunning design. Its vibrant pink hue adds a touch of personality, standing out in a sea of smartphones. With 128GB of storage, you'll have ample space for all your photos, videos, and apps. The powerful A15 Bionic chip ensures seamless performance, while the advanced camera system captures every moment in breathtaking detail. Elevate your mobile experience with the iPhone 13 Pink and make a statement wherever you go.",a gift for my wife step into a world of sophistication with the apple iphone 13 128gb in pink radiating elegance this sleek device combines cuttingedge technology with a stunning design its vibrant pink hue adds a touch of personality standing out in a sea of smartphones with 128gb of storage youll have ample space for all your photos videos and apps the powerful a15 bionic chip ensures seamless performance while the advanced camera system captures every moment in breathtaking detail elevate your mobile experience with the iphone 13 pink and make a statement wherever you go,positivo,"gift, wife, step, world, sophistication, apple, iphone, pink, radiating, elegance, sleek, device, combines, cuttingedge, technology, stunning, design, vibrant, pink, hue, adds, touch, personality, standing, sea, smartphones, storage, youll, ample, space, photos, videos, apps, powerful, bionic, chip, ensures, seamless, performance, advanced, camera, system, captures, every, moment, breathtaking, detail, elevate, mobile, experience, iphone, pink, make, statement, wherever, go",Colour: PinkSize: 128 GB,India
01-06-2024,4,Good product,Good one,Good product Good one,good product good one,positivo,"good, product, good, one",Colour: PinkSize: 128 GB,India
04-06-2022,5,Very very good product.,It's really a value for money.,Very very good product. It's really a value for money.,very very good product its really a value for money,positivo,"good, product, really, value, money",Colour: GreenSize: 256 GB,India
22-08-2022,5,Sup,Jakasss,Sup Jakasss,sup jakasss,neutro,"sup, jakasss",Colour: GreenSize: 256 GB,India
24-07-2022,5,Amazing experience with best phone,Best phone,Amazing experience with best phone Best phone,amazing experience with best phone best phone,positivo,"amazing, experience, best, phone, best, phone",Colour: GreenSize: 256 GB,India
10-04-2022,5,Nice support by amazon and good product received,Good product by apple,Nice support by amazon and good product received Good product by apple,nice support by amazon and good product received good product by apple,positivo,"nice, support, amazon, good, product, received, good, product, apple",Colour: GreenSize: 256 GB,India
08-04-2022,5,"Great product, I recommend.","Great product, wonderful experience.","Great product, I recommend. Great product, wonderful experience.",great product i recommend great product wonderful experience,positivo,"great, product, recommend, great, product, wonderful, experience",Colour: GreenSize: 256 GB,India
16-08-2022,1,3rd class service from Amazon,3rd class service from Amazon and Apple. Manufacturing defect products send to me.Worst experience of buying such premium phone. Front camera is faulty. They said no for replacement even it’s within 7 day replacement warranty. There is a black line comes when I click selfie. Don’t Purchase apple products from Amazon,3rd class service from Amazon 3rd class service from Amazon and Apple. Manufacturing defect products send to me.Worst experience of buying such premium phone. Front camera is faulty. They said no for replacement even it’s within 7 day replacement warranty. There is a black line comes when I click selfie. Don’t Purchase apple products from Amazon,3rd class service from amazon 3rd class service from amazon and apple manufacturing defect products send to meworst experience of buying such premium phone front camera is faulty they said no for replacement even its within 7 day replacement warranty there is a black line comes when i click selfie dont purchase apple products from amazon,negativo,"class, service, amazon, class, service, amazon, apple, manufacturing, defect, products, send, meworst, experience, buying, premium, phone, front, camera, faulty, said, replacement, even, within, day, replacement, warranty, black, line, comes, click, selfie, dont, purchase, apple, products, amazon",Colour: GreenSize: 256 GB,India
09-08-2022,1,Very bad experience,On right side it has h small dent,Very bad experience On right side it has h small dent,very bad experience on right side it has h small dent,negativo,"bad, experience, right, side, h, small, dent",Colour: GreenSize: 256 GB,India
06-09-2023,4,I'm also planning to buy it  nice,"Planning to buy it , I hope I get a better experience ,  hardly waiting  to buy but green colour want to experience charging quality appearance and features","I'm also planning to buy it  nice Planning to buy it , I hope I get a better experience ,  hardly waiting  to buy but green colour want to experience charging quality appearance and features",im also planning to buy it  nice planning to buy it  i hope i get a better experience   hardly waiting  to buy but green colour want to experience charging quality appearance and features,positivo,"im, also, planning, buy, nice, planning, buy, hope, get, better, experience, hardly, waiting, buy, green, colour, want, experience, charging, quality, appearance, features",Colour: GreenSize: 256 GB,India
21-01-2024,5,best phone under range,"’ve been using the iPhone 13 for the past 3-4 months, and I am thoroughly impressed with its overall performance. The A15 Bionic chip ensures smooth and lag-free operation, making multitasking a breeze.The camera quality is a standout feature, capturing vivid and detailed photos in various lighting conditions. The Night mode improvements are noticeable, delivering clear and sharp images even in low-light environments. The Cinematic mode for videos adds a professional touch, creating engaging and dynamic content.","best phone under range ’ve been using the iPhone 13 for the past 3-4 months, and I am thoroughly impressed with its overall performance. The A15 Bionic chip ensures smooth and lag-free operation, making multitasking a breeze.The camera quality is a standout feature, capturing vivid and detailed photos in various lighting conditions. The Night mode improvements are noticeable, delivering clear and sharp images even in low-light environments. The Cinematic mode for videos adds a professional touch, creating engaging and dynamic content.",best phone under range ve been using the iphone 13 for the past 34 months and i am thoroughly impressed with its overall performance the a15 bionic chip ensures smooth and lagfree operation making multitasking a breezethe camera quality is a standout feature capturing vivid and detailed photos in various lighting conditions the night mode improvements are noticeable delivering clear and sharp images even in lowlight environments the cinematic mode for videos adds a professional touch creating engaging and dynamic content,positivo,"best, phone, range, using, iphone, past, months, thoroughly, impressed, overall, performance, bionic, chip, ensures, smooth, lagfree, operation, making, multitasking, breezethe, camera, quality, standout, feature, capturing, vivid, detailed, photos, various, lighting, conditions, night, mode, improvements, noticeable, delivering, clear, sharp, images, even, lowlight, environments, cinematic, mode, videos, adds, professional, touch, creating, engaging, dynamic, content",Colour: GreenSize: 256 GB,India
21-12-2023,5,"No fingerprint, no call recording, no carrier video calling","I had a 5 year old Redmi phone.I was unhappy as call recording stopped working, carrier video calling stopped working, battery charging speed reduced, fingerprint stopped working etc etc...So I bought an iPhone.Now I'm happy - it has no call recording (so cannot stop working), no carrier video calling (so cannot stop working), slow battery charging, no fingerprint (so cannot stop working) etc etc...","No fingerprint, no call recording, no carrier video calling I had a 5 year old Redmi phone.I was unhappy as call recording stopped working, carrier video calling stopped working, battery charging speed reduced, fingerprint stopped working etc etc...So I bought an iPhone.Now I'm happy - it has no call recording (so cannot stop working), no carrier video calling (so cannot stop working), slow battery charging, no fingerprint (so cannot stop working) etc etc...",no fingerprint no call recording no carrier video calling i had a 5 year old redmi phonei was unhappy as call recording stopped working carrier video calling stopped working battery charging speed reduced fingerprint stopped working etc etcso i bought an iphonenow im happy  it has no call recording so cannot stop working no carrier video calling so cannot stop working slow battery charging no fingerprint so cannot stop working etc etc,negativo,"fingerprint, call, recording, carrier, video, calling, year, old, redmi, phonei, unhappy, call, recording, stopped, working, carrier, video, calling, stopped, working, battery, charging, speed, reduced, fingerprint, stopped, working, etc, etcso, bought, iphonenow, im, happy, call, recording, stop, working, carrier, video, calling, stop, working, slow, battery, charging, fingerprint, stop, working, etc, etc",Colour: GreenSize: 256 GB,India
10-11-2021,5,Outstanding,My first iphone and there is nothing better…Go for it..Absolutely Fabulous,Outstanding My first iphone and there is nothing better…Go for it..Absolutely Fabulous,outstanding my first iphone and there is nothing bettergo for itabsolutely fabulous,positivo,"outstanding, first, iphone, nothing, bettergo, itabsolutely, fabulous",Colour: BlueSize: 256 GB,India
09-04-2022,5,Parfect fiting,Parfect fiting,Parfect fiting Parfect fiting,parfect fiting parfect fiting,neutro,"parfect, fiting, parfect, fiting",Colour: BlueSize: 256 GB,India
30-03-2022,5,Worth of the money,Nice product!,Worth of the money Nice product!,worth of the money nice product,positivo,"worth, money, nice, product",Colour: BlueSize: 256 GB,India
30-01-2024,1,Worst experience,It is not good for use,Worst experience It is not good for use,worst experience it is not good for use,negativo,"worst, experience, good, use",Colour: BlueSize: 256 GB,India
17-12-2021,5,Superb Product,Nice User Experience,Superb Product Nice User Experience,superb product nice user experience,positivo,"superb, product, nice, user, experience",Colour: BlueSize: 256 GB,India
10-12-2021,5,Loved it,Amazing phone,Loved it Amazing phone,loved it amazing phone,positivo,"loved, amazing, phone",Colour: BlueSize: 256 GB,India
19-06-2022,2,Heating issue and poor battery life,Price: 81kProblem: 1. Heating issue2. Poor battery lifeThat's all from my side now it's your choice.. 🙏,Heating issue and poor battery life Price: 81kProblem: 1. Heating issue2. Poor battery lifeThat's all from my side now it's your choice.. 🙏,heating issue and poor battery life price 81kproblem 1 heating issue2 poor battery lifethats all from my side now its your choice ,negativo,"heating, issue, poor, battery, life, price, heating, poor, battery, lifethats, side, choice",Colour: BlueSize: 256 GB,India
10-06-2022,5,Worth it,,Worth it ,worth it ,positivo,worth,Colour: BlueSize: 256 GB,India
11-12-2021,5,It's nice product.,This looks professional colour and perfect👍. Nice product.,It's nice product. This looks professional colour and perfect👍. Nice product.,its nice product this looks professional colour and perfect nice product,positivo,"nice, product, looks, professional, colour, perfect, nice, product",Colour: BlueSize: 256 GB,India
13-11-2023,1,Very  worst,Very worst,Very  worst Very worst,very  worst very worst,negativo,"worst, worst",Colour: BlueSize: 256 GB,India
13-11-2023,5,One dum,Beautiful,One dum Beautiful,one dum beautiful,positivo,"one, dum, beautiful",Colour: PinkSize: 256 GB,India
16-10-2023,5,Best in range,Nice camera and other features,Best in range Nice camera and other features,best in range nice camera and other features,positivo,"best, range, nice, camera, features",Colour: PinkSize: 256 GB,India
07-10-2022,5,Missing pink color,I have returned item due to I got same iphone 13 in lesser price.. but ordered in blue 🔵 color pink one have better look as i feel,Missing pink color I have returned item due to I got same iphone 13 in lesser price.. but ordered in blue 🔵 color pink one have better look as i feel,missing pink color i have returned item due to i got same iphone 13 in lesser price but ordered in blue  color pink one have better look as i feel,positivo,"missing, pink, color, returned, item, due, got, iphone, lesser, price, ordered, blue, color, pink, one, better, look, feel",Colour: PinkSize: 256 GB,India
25-08-2022,5,Fully satisfied wid d fon... Everything is good👌🏻,"Security, Camera quality all is good .. but d problem is fon gets heated a bit of we use for bit a long. Otherwise it's good","Fully satisfied wid d fon... Everything is good👌🏻 Security, Camera quality all is good .. but d problem is fon gets heated a bit of we use for bit a long. Otherwise it's good",fully satisfied wid d fon everything is good security camera quality all is good  but d problem is fon gets heated a bit of we use for bit a long otherwise its good,positivo,"fully, satisfied, wid, fon, everything, good, security, camera, quality, good, problem, fon, gets, heated, bit, use, bit, long, otherwise, good",Colour: PinkSize: 256 GB,India
03-09-2022,4,Should have bigger battery,Should have bigger battery..... rest ok,Should have bigger battery Should have bigger battery..... rest ok,should have bigger battery should have bigger battery rest ok,positivo,"bigger, battery, bigger, battery, rest, ok",Colour: PinkSize: 256 GB,India
13-05-2022,5,Good mobile but high cost,1. Camera Quality: good(best👌)2. Battery life :Good( best👌)3. Performance :Good(best👌)4. Touch display :low speed ( not good😥)Remaining all are good 👌,Good mobile but high cost 1. Camera Quality: good(best👌)2. Battery life :Good( best👌)3. Performance :Good(best👌)4. Touch display :low speed ( not good😥)Remaining all are good 👌,good mobile but high cost 1 camera quality goodbest2 battery life good best3 performance goodbest4 touch display low speed  not goodremaining all are good ,positivo,"good, mobile, high, cost, camera, quality, battery, life, good, performance, touch, display, low, speed, goodremaining, good",Colour: PinkSize: 256 GB,India
02-06-2022,4,Never buy from online,Battery not getting reacharge taking time full 12hrs to get 90%.dont like this,Never buy from online Battery not getting reacharge taking time full 12hrs to get 90%.dont like this,never buy from online battery not getting reacharge taking time full 12hrs to get 90dont like this,positivo,"never, buy, online, battery, getting, reacharge, taking, time, full, get, like",Colour: PinkSize: 256 GB,India
16-07-2022,5,"Awesome phone,  great camera, Display and sensors response super quick. good battery life.",Apple phone are expensive as compared to android but trust me guys its worth each penny.,"Awesome phone,  great camera, Display and sensors response super quick. good battery life. Apple phone are expensive as compared to android but trust me guys its worth each penny.",awesome phone  great camera display and sensors response super quick good battery life apple phone are expensive as compared to android but trust me guys its worth each penny,positivo,"awesome, phone, great, camera, display, sensors, response, super, quick, good, battery, life, apple, phone, expensive, compared, android, trust, guys, worth, penny",Colour: PinkSize: 256 GB,India
24-07-2022,5,It's iPhone 13,Nice phone. Future update proof for next 3 years.,It's iPhone 13 Nice phone. Future update proof for next 3 years.,its iphone 13 nice phone future update proof for next 3 years,positivo,"iphone, nice, phone, future, update, proof, next, years",Colour: PinkSize: 256 GB,India
26-08-2022,5,Display,Like the display Ava camera quality,Display Like the display Ava camera quality,display like the display ava camera quality,positivo,"display, like, display, ava, camera, quality",Colour: PinkSize: 256 GB,India
19-12-2023,5,Very good,Good working and safe packing,Very good Good working and safe packing,very good good working and safe packing,positivo,"good, good, working, safe, packing",Colour: GreenSize: 256 GB,India
17-11-2023,5,Awesome phone,So beautiful so elegant just looking like a wow,Awesome phone So beautiful so elegant just looking like a wow,awesome phone so beautiful so elegant just looking like a wow,positivo,"awesome, phone, beautiful, elegant, looking, like, wow",Colour: GreenSize: 256 GB,India
07-03-2024,2,Stuck on 1 page,"There is the option for update of software, after click on that the page get stuck on loding from last 1 hour","Stuck on 1 page There is the option for update of software, after click on that the page get stuck on loding from last 1 hour",stuck on 1 page there is the option for update of software after click on that the page get stuck on loding from last 1 hour,negativo,"stuck, page, option, update, software, click, page, get, stuck, loding, last, hour",Colour: GreenSize: 256 GB,India
07-11-2023,5,Working good,Battery life is good,Working good Battery life is good,working good battery life is good,positivo,"working, good, battery, life, good",Colour: GreenSize: 256 GB,India
15-10-2023,5,I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST 😍 IAM VERY HAPPY,I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST 😍 IAM VERY HAPPY,I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST 😍 IAM VERY HAPPY I GOT THIS AT 53000 256GB VARIENT AFTER EXCHANGE ONE OF THE BEST 😍 IAM VERY HAPPY,i got this at 53000 256gb varient after exchange one of the best  iam very happy i got this at 53000 256gb varient after exchange one of the best  iam very happy,positivo,"got, varient, exchange, one, best, iam, happy, got, varient, exchange, one, best, iam, happy",Colour: GreenSize: 256 GB,India
28-10-2023,5,Definitely a good product,More than the quality of the product it is important how much you are ready to pay to own the brand.,Definitely a good product More than the quality of the product it is important how much you are ready to pay to own the brand.,definitely a good product more than the quality of the product it is important how much you are ready to pay to own the brand,positivo,"definitely, good, product, quality, product, important, much, ready, pay, brand",Colour: GreenSize: 256 GB,India
14-10-2023,5,Sexy,Perfect phone,Sexy Perfect phone,sexy perfect phone,positivo,"sexy, perfect, phone",Colour: GreenSize: 256 GB,India
23-01-2023,4,Best phone of the decade,This is what you need,Best phone of the decade This is what you need,best phone of the decade this is what you need,positivo,"best, phone, decade, need",Colour: GreenSize: 256 GB,India
06-01-2023,5,Simply awesome!!,very much satisfied with phone.... everything is working good. No wonder Apple is the best!!,Simply awesome!! very much satisfied with phone.... everything is working good. No wonder Apple is the best!!,simply awesome very much satisfied with phone everything is working good no wonder apple is the best,positivo,"simply, awesome, much, satisfied, phone, everything, working, good, wonder, apple, best",Colour: GreenSize: 256 GB,India
10-09-2022,4,Awesome,Nice product,Awesome Nice product,awesome nice product,positivo,"awesome, nice, product",Colour: GreenSize: 256 GB,India
25-09-2021,5,Go for it..,"you really don't need to upgrade if you bought a new iPhone last year. But anyone with an iPhone 11 or older will find enough new parts and features to consider the new modelsScreenThe screen is notably better than last year's. It's the first iPhone with Apple's ProMotion display, a very high refresh-rate screen technology that was introduced on the iPad Pro in 2017.The screen can adjust to the content on the page to help save battery life and make things feel smoother. If you're just reading a website, for example, it might refresh less frequently and save battery life. But then if you're gaming or scrolling through a long webpage, it'll refresh really fast to make everything much smoother.BatteryBattery life is top-notch and lasts longer than any other iPhone on the market. Unless you're playing games for hours and hoursThat's thanks to a combination of a newer processor, a new screen and a bigger battery. I streamed nine hours of movies, for example, with just over 50% brightness, and still had more than half the battery left.CameraThe regular wide-angle, the zoom and the ultra-wide-angle lenses on the back now allow in more light, which means they're better at taking pictures in the dark.The HDR feature is also better in situations where your subject might have a lot of light behind them, which can normally make people in a picture look dark — all the iPhone 13 phones can keep color and detail even if the sun is right behind someone.You can get really close to an object, like a blueberry or a flower, and capture a lot of detail.","Go for it.. you really don't need to upgrade if you bought a new iPhone last year. But anyone with an iPhone 11 or older will find enough new parts and features to consider the new modelsScreenThe screen is notably better than last year's. It's the first iPhone with Apple's ProMotion display, a very high refresh-rate screen technology that was introduced on the iPad Pro in 2017.The screen can adjust to the content on the page to help save battery life and make things feel smoother. If you're just reading a website, for example, it might refresh less frequently and save battery life. But then if you're gaming or scrolling through a long webpage, it'll refresh really fast to make everything much smoother.BatteryBattery life is top-notch and lasts longer than any other iPhone on the market. Unless you're playing games for hours and hoursThat's thanks to a combination of a newer processor, a new screen and a bigger battery. I streamed nine hours of movies, for example, with just over 50% brightness, and still had more than half the battery left.CameraThe regular wide-angle, the zoom and the ultra-wide-angle lenses on the back now allow in more light, which means they're better at taking pictures in the dark.The HDR feature is also better in situations where your subject might have a lot of light behind them, which can normally make people in a picture look dark — all the iPhone 13 phones can keep color and detail even if the sun is right behind someone.You can get really close to an object, like a blueberry or a flower, and capture a lot of detail.",go for it you really dont need to upgrade if you bought a new iphone last year but anyone with an iphone 11 or older will find enough new parts and features to consider the new modelsscreenthe screen is notably better than last years its the first iphone with apples promotion display a very high refreshrate screen technology that was introduced on the ipad pro in 2017the screen can adjust to the content on the page to help save battery life and make things feel smoother if youre just reading a website for example it might refresh less frequently and save battery life but then if youre gaming or scrolling through a long webpage itll refresh really fast to make everything much smootherbatterybattery life is topnotch and lasts longer than any other iphone on the market unless youre playing games for hours and hoursthats thanks to a combination of a newer processor a new screen and a bigger battery i streamed nine hours of movies for example with just over 50 brightness and still had more than half the battery leftcamerathe regular wideangle the zoom and the ultrawideangle lenses on the back now allow in more light which means theyre better at taking pictures in the darkthe hdr feature is also better in situations where your subject might have a lot of light behind them which can normally make people in a picture look dark  all the iphone 13 phones can keep color and detail even if the sun is right behind someoneyou can get really close to an object like a blueberry or a flower and capture a lot of detail,positivo,"go, really, dont, need, upgrade, bought, new, iphone, last, year, anyone, iphone, older, find, enough, new, parts, features, consider, new, modelsscreenthe, screen, notably, better, last, years, first, iphone, apples, promotion, display, high, refreshrate, screen, technology, introduced, ipad, pro, screen, adjust, content, page, help, save, battery, life, make, things, feel, smoother, youre, reading, website, example, might, refresh, less, frequently, save, battery, life, youre, gaming, scrolling, long, webpage, itll, refresh, really, fast, make, everything, much, smootherbatterybattery, life, topnotch, lasts, longer, iphone, market, unless, youre, playing, games, hours, hoursthats, thanks, combination, newer, processor, new, screen, bigger, battery, streamed, nine, hours, movies, example, brightness, still, half, battery, leftcamerathe, regular, wideangle, zoom, ultrawideangle, lenses, back, allow, light, means, theyre, better, taking, pictures, darkthe, hdr, feature, also, better, situations, subject, might, lot, light, behind, normally, make, people, picture, look, dark, iphone, phones, keep, color, detail, even, sun, right, behind, someoneyou, get, really, close, object, like, blueberry, flower, capture, lot, detail",Colour: PinkSize: 256 GB,India
04-08-2022,1,NOT GOOD AS FAR,Waste of money not good in hand feel and canera is good in job but overall apple feel is not there,NOT GOOD AS FAR Waste of money not good in hand feel and canera is good in job but overall apple feel is not there,not good as far waste of money not good in hand feel and canera is good in job but overall apple feel is not there,negativo,"good, far, waste, money, good, hand, feel, canera, good, job, overall, apple, feel",Colour: PinkSize: 256 GB,India
25-09-2021,5,Very good product but I have no money,I do not have money that I can get a phone but I have a dream to get a phone which will definitely be fulfilled one day,Very good product but I have no money I do not have money that I can get a phone but I have a dream to get a phone which will definitely be fulfilled one day,very good product but i have no money i do not have money that i can get a phone but i have a dream to get a phone which will definitely be fulfilled one day,positivo,"good, product, money, money, get, phone, dream, get, phone, definitely, fulfilled, one, day",Colour: PinkSize: 256 GB,India
25-09-2021,1,Excellent upgrade in context of being 90k poorer.,"Just but iphone 12!It’s not worth the money!Unless ur from BJP or something where you’re full with corrupt money, then go ahead.","Excellent upgrade in context of being 90k poorer. Just but iphone 12!It’s not worth the money!Unless ur from BJP or something where you’re full with corrupt money, then go ahead.",excellent upgrade in context of being 90k poorer just but iphone 12its not worth the moneyunless ur from bjp or something where youre full with corrupt money then go ahead,negativo,"excellent, upgrade, context, poorer, iphone, worth, moneyunless, ur, bjp, something, youre, full, corrupt, money, go, ahead",Colour: PinkSize: 256 GB,India
28-09-2021,5,Exquisite experience,Pretty Pink Color with amazing features apple has added to the new phone!Feels very light while holding the phone!Happy customer ❤️,Exquisite experience Pretty Pink Color with amazing features apple has added to the new phone!Feels very light while holding the phone!Happy customer ❤️,exquisite experience pretty pink color with amazing features apple has added to the new phonefeels very light while holding the phonehappy customer ,positivo,"exquisite, experience, pretty, pink, color, amazing, features, apple, added, new, phonefeels, light, holding, phonehappy, customer",Colour: PinkSize: 256 GB,India
29-09-2021,5,Nice Colour (Pink) Looks Like White,,Nice Colour (Pink) Looks Like White ,nice colour pink looks like white ,positivo,"nice, colour, pink, looks, like, white",Colour: PinkSize: 256 GB,India
16-02-2022,5,Buy 4 this phone in 1lac my all family members are happy,"I have no money to buy this ph , i am poor guy, kind hearted person can gift a i phone any model no problem . May god bless you 🙏🙏🙏🙏","Buy 4 this phone in 1lac my all family members are happy I have no money to buy this ph , i am poor guy, kind hearted person can gift a i phone any model no problem . May god bless you 🙏🙏🙏🙏",buy 4 this phone in 1lac my all family members are happy i have no money to buy this ph  i am poor guy kind hearted person can gift a i phone any model no problem  may god bless you ,positivo,"buy, phone, family, members, happy, money, buy, ph, poor, guy, kind, hearted, person, gift, phone, model, problem, may, god, bless",Colour: PinkSize: 256 GB,India
28-10-2023,5,Iphone at its best,Iphone at its best,Iphone at its best Iphone at its best,iphone at its best iphone at its best,positivo,"iphone, best, iphone, best",Colour: PinkSize: 256 GB,India
10-04-2024,4,Really good phone,"It's an absolute all rounder. I mean you know about apple right, it has never disappointed me this time neither","Really good phone It's an absolute all rounder. I mean you know about apple right, it has never disappointed me this time neither",really good phone its an absolute all rounder i mean you know about apple right it has never disappointed me this time neither,positivo,"really, good, phone, absolute, rounder, mean, know, apple, right, never, disappointed, time, neither",Colour: PinkSize: 128 GB,India
13-07-2024,5,Battery 🔋 poor,Pranto chakdaha Nadia West Bengal,Battery 🔋 poor Pranto chakdaha Nadia West Bengal,battery  poor pranto chakdaha nadia west bengal,negativo,"battery, poor, pranto, chakdaha, nadia, west, bengal",Colour: PinkSize: 128 GB,India
13-06-2024,5,Perfect,Has a good battery life. Charging is decently fast. Camera quality is unmatched. Excellent screen and display. Very easy and simple to use.,Perfect Has a good battery life. Charging is decently fast. Camera quality is unmatched. Excellent screen and display. Very easy and simple to use.,perfect has a good battery life charging is decently fast camera quality is unmatched excellent screen and display very easy and simple to use,positivo,"perfect, good, battery, life, charging, decently, fast, camera, quality, unmatched, excellent, screen, display, easy, simple, use",Colour: PinkSize: 128 GB,India
18-12-2023,5,"Switched from Android to IOS, loved the experience, but..","The phone is awesome. The smoothness, the camera quality, display and the voice clarity are great. There is way better safety as every app asks to get tracked or not, to send you notifications or you can deny it. The phone in itself is so smooth and it’s so easy to edit videos or reels as no lagging is there.While the experience of switching from android to iOS was great, but there are so many things which are way more complicated in iOS.I can’t use true-caller and have to manually check the number, no headphone jack and airpods are kinda not useful for someone who talks for long hours on calls. (Planning to get the lightning cable wired apple earphones).Also, the fact that it does not have fingerprint is kinda shocking as phones starting from 10k also have that feature now, guess apple should really look in to it.Overall, I feel the pros outweigh the cons.Lastly, the BEST feature is the camera. The crystal clear quality of the camera was one of the reasons why I wanted to get the phone. My father has a Z fold, and personally I like the camera of the iPhone 13 way way better. Could be a personal preference, but I am satisfied.","Switched from Android to IOS, loved the experience, but.. The phone is awesome. The smoothness, the camera quality, display and the voice clarity are great. There is way better safety as every app asks to get tracked or not, to send you notifications or you can deny it. The phone in itself is so smooth and it’s so easy to edit videos or reels as no lagging is there.While the experience of switching from android to iOS was great, but there are so many things which are way more complicated in iOS.I can’t use true-caller and have to manually check the number, no headphone jack and airpods are kinda not useful for someone who talks for long hours on calls. (Planning to get the lightning cable wired apple earphones).Also, the fact that it does not have fingerprint is kinda shocking as phones starting from 10k also have that feature now, guess apple should really look in to it.Overall, I feel the pros outweigh the cons.Lastly, the BEST feature is the camera. The crystal clear quality of the camera was one of the reasons why I wanted to get the phone. My father has a Z fold, and personally I like the camera of the iPhone 13 way way better. Could be a personal preference, but I am satisfied.",switched from android to ios loved the experience but the phone is awesome the smoothness the camera quality display and the voice clarity are great there is way better safety as every app asks to get tracked or not to send you notifications or you can deny it the phone in itself is so smooth and its so easy to edit videos or reels as no lagging is therewhile the experience of switching from android to ios was great but there are so many things which are way more complicated in iosi cant use truecaller and have to manually check the number no headphone jack and airpods are kinda not useful for someone who talks for long hours on calls planning to get the lightning cable wired apple earphonesalso the fact that it does not have fingerprint is kinda shocking as phones starting from 10k also have that feature now guess apple should really look in to itoverall i feel the pros outweigh the conslastly the best feature is the camera the crystal clear quality of the camera was one of the reasons why i wanted to get the phone my father has a z fold and personally i like the camera of the iphone 13 way way better could be a personal preference but i am satisfied,positivo,"switched, android, ios, loved, experience, phone, awesome, smoothness, camera, quality, display, voice, clarity, great, way, better, safety, every, app, asks, get, tracked, send, notifications, deny, phone, smooth, easy, edit, videos, reels, lagging, therewhile, experience, switching, android, ios, great, many, things, way, complicated, iosi, cant, use, truecaller, manually, check, number, headphone, jack, airpods, kinda, useful, someone, talks, long, hours, calls, planning, get, lightning, cable, wired, apple, earphonesalso, fact, fingerprint, kinda, shocking, phones, starting, also, feature, guess, apple, really, look, itoverall, feel, pros, outweigh, conslastly, best, feature, camera, crystal, clear, quality, camera, one, reasons, wanted, get, phone, father, z, fold, personally, like, camera, iphone, way, way, better, could, personal, preference, satisfied",Colour: PinkSize: 128 GB,India
22-06-2024,5,Good,Good One,Good Good One,good good one,positivo,"good, good, one",Colour: PinkSize: 128 GB,India
23-05-2024,5,Nice colour,I got this for 46k with all discounts it was good deal.. camera quality is awesome..,Nice colour I got this for 46k with all discounts it was good deal.. camera quality is awesome..,nice colour i got this for 46k with all discounts it was good deal camera quality is awesome,positivo,"nice, colour, got, discounts, good, deal, camera, quality, awesome",Colour: PinkSize: 128 GB,India
08-06-2024,5,It's a cool phone,Nice,It's a cool phone Nice,its a cool phone nice,positivo,"cool, phone, nice",Colour: PinkSize: 128 GB,India
